time,open,high,low,close,VWAP,Volume,Volume MA,Relative Volume,EMA 10,Plot EMA 20,Plot EMA50,Plot EMA 100,Plot EMA 200,Supertrend Up,Supertrend Down ,RSI,RSI-based MA,GapUp/GapDown,Gap Percentage,Candle Body,Candle Range,Body Percentage,Body Character,Upperwick %,Upper Wick Character,LowerWick %,Lower Wick Character,VIX,VIX % Change,Expected Range,UDR,LDR,"Today's Close In Range(IN=1,OUT=0)",,,,,,
07-09-2023,19598.65,19737,19550.051,19727.051,19671.36733,304929822,295786064.6,1.03,19509.33772,19474.58603,19341.77279,18999.38189,18511.22128,19363.04654,,63.56881141,49.75323459,,,128.401,186.949,68.68,STRONG,5.32,NONE,26,MODERATE,10.8725,,135.2177268,19733.86773,19463.43227,INSIDE,,,,,,
08-09-2023,19774.801,19867.15,19727.051,19819.949,19804.71667,288093693,294581060,0.98,19565.8125,19507.47774,19360.5248,19015.63075,18524.24345,19516.67773,,66.70826505,51.16277014,47.75,0.24,45.148,140.099,32.23,WEAK,33.69,MODERATE,34.08,MODERATE,10.78,-0.850770292,134.9514033,19909.7524,19639.8496,INSIDE,,,,,,
11-09-2023,19890,20008.15,19865.35,19996.35,19956.61667,253184081,295464061.7,0.86,19644.09205,19554.03701,19385.45912,19035.05093,18538.89127,19637.13138,,71.69604437,52.91848867,70.051,0.35,106.35,142.8,74.47,STRONG,8.26,NONE,17.26,MILD,11.3475,5.264378479,143.0639459,20033.06395,19746.93605,INSIDE,,,,,,
12-09-2023,20110.15,20110.35,19914.65,19993.199,20006.06633,328064239,299674732.9,1.09,19707.56604,19595.86196,19409.29206,19054.02416,18553.362,19694.52511,,71.49000597,54.48692735,113.8,0.57,-116.951,195.7,59.76,MODERATE,0.1,NONE,40.14,STRONG DEFEND,11.69,3.018285966,148.1348403,20258.28484,19962.01516,INSIDE,,,,,,
13-09-2023,19989.5,20096.9,19944.1,20070,20037,251394599,300913101.3,0.84,19773.46312,19641.01796,19435.20217,19074.14249,18568.45292,19705.00009,,73.48973096,56.39621132,-3.699,-0.02,80.5,152.8,52.68,MODERATE,17.6,MILD,29.71,MODERATE,11.8275,1.176218991,149.776991,20139.27699,19839.72301,INSIDE,,,,,,
14-09-2023,20127.949,20167.65,20043.449,20103.1,20104.733,275111881,301235522.6,0.91,19833.3971,19685.02578,19461.39424,19094.51789,18583.72304,19803.46917,,74.32556461,58.74200903,57.949,0.29,-24.849,124.201,20.01,WEAK,31.97,MODERATE,48.03,STRONG DEFEND,11.3175,-4.311984781,143.8231751,20271.77218,19984.12582,INSIDE,,,,,,
15-09-2023,20156.449,20222.449,20129.699,20192.35,20181.49933,438185104,310337659.6,1.41,19898.66126,19733.34237,19490.05918,19116.25714,18599.72928,19886.67013,,76.47897532,61.07912905,53.349,0.27,35.901,92.75,38.71,WEAK,32.45,MODERATE,28.84,MODERATE,10.9025,-3.666887564,138.9258035,20295.3748,20017.5232,INSIDE,,,,,,
18-09-2023,20155.949,20195.35,20115.699,20133.301,20148.11667,264870758,314187506.1,0.84,19941.32303,19771.43367,19515.28434,19136.39662,18614.9887,19892.14101,,72.16627518,62.96087471,-36.401,-0.18,-22.648,79.651,28.43,WEAK,49.47,STRONG REJECT,22.1,MODERATE,10.835,-0.619124054,137.8806662,20293.82967,20018.06833,INSIDE,,,,,,
20-09-2023,19980.75,20050.65,19878.85,19901.4,19943.63333,378065882,322655582.5,1.17,19934.0643,19783.81141,19530.42614,19151.5452,18627.78881,19892.14101,,58.2692618,63.83003905,-152.551,-0.76,-79.35,171.8,46.19,MODERATE,40.69,STRONG REJECT,13.13,MILD,11.1275,2.699584679,140.5882847,20121.33828,19840.16172,INSIDE,,,,,,
21-09-2023,19840.551,19848.75,19709.949,19742.35,19767.01633,275132260,325151446,0.85,19899.20715,19779.86271,19538.73687,19163.24431,18638.87897,,20105.91966,51.01342649,64.50262396,-60.849,-0.31,-98.201,138.801,70.75,STRONG,5.91,NONE,23.34,MODERATE,10.8175,-2.785890811,135.2954336,19975.84643,19705.25557,INSIDE,,,,,,
