CE_change,CE_changeinOpenInterest,CE_pChange,CE_pchangeinOpenInterest,CE_impliedVolatility,CE_lastPrice,CE_openInterest,CE_totalBuyQuantity,CE_totalSellQuantity,CE_strikePrice,CE_totalTradedVolume,underlyingValue,PE_change,PE_changeinOpenInterest,PE_pChange,PE_pchangeinOpenInterest,PE_impliedVolatility,PE_lastPrice,PE_openInterest,PE_totalBuyQuantity,PE_totalSellQuantity,PE_totalTradedVolume,Overall_CE_openInterest,Overall_CE_totalTradedVolume,Overall_PE_openInterest,Overall_PE_totalTradedVolume
-239.2,-3,-10.529559360831096,-100,0,2032.5,0,2275,845,21100,4,23242.15,-0.45,-54469,-90,-68.1757306464735,54.84,0.05,25426,11050,2724930,159162,4224287,198826657,3898897,185985431
-1027.1,1,-34.187095378368035,0,0,1977.25,1,715,975,21150,2,23242.15,-0.45,-264,-90,-12.406015037593985,53.61,0.05,1864,18980,183950,5661,4224287,198826657,3898897,185985431
-972.45,1,-32.90862944162436,0,0,1982.55,1,1625,1430,21200,2,23242.15,-0.45,-6821,-90,-55.04357650096836,52.38,0.05,5571,8060,312325,31269,4224287,198826657,3898897,185985431
-831.85,0,-28.62772089821905,0,119.51,2073.9,0,585,845,21250,2,23242.15,-0.4,526,-80,40.806826997672616,51.14,0.1,1815,46670,192205,5157,4224287,198826657,3898897,185985431
0,0,0,0,163.68,0,1,715,975,21300,0,23242.15,-0.45,-4167,-90,-62.879130828429155,49.91,0.05,2460,71045,97890,16887,4224287,198826657,3898897,185985431
0,0,0,0,43.89,0,1,715,975,21350,0,23242.15,-0.5,14,-90.9090909090909,1.5317286652078774,48.68,0.05,928,13130,53560,3036,4224287,198826657,3898897,185985431
0,0,0,0,103.63,0,1,1495,1755,21400,0,23242.15,-0.5,-2447,-90.9090909090909,-46.68956306048464,47.46,0.05,2794,153270,218010,20734,4224287,198826657,3898897,185985431
0,0,0,0,0,0,0,1820,1755,21450,0,23242.15,-0.5,55,-90.9090909090909,4.641350210970464,46.23,0.05,1240,23075,121940,6386,4224287,198826657,3898897,185985431
79.05,-8,4.837969338107041,-22.22222222222222,0,1713,28,3380,2340,21500,16,23242.15,-0.5,-24840,-90.9090909090909,-46.02898121039173,45,0.05,29126,13530855,2974660,156457,4224287,198826657,3898897,185985431
0,0,0,0,112.26,0,1,1365,2210,21550,0,23242.15,-0.5,-15,-90.9090909090909,-0.667853962600178,46.09,0.05,2231,132015,116935,13878,4224287,198826657,3898897,185985431
0,0,0,0,0,0,0,1820,1625,21600,0,23242.15,-0.5,-2274,-83.33333333333333,-33.859440142942226,44.81,0.1,4442,306150,450190,21533,4224287,198826657,3898897,185985431
0,0,0,0,0,0,0,1300,1365,21650,0,23242.15,-0.55,33,-91.66666666666667,0.9156492785793563,43.53,0.05,3637,77480,154830,19324,4224287,198826657,3898897,185985431
0,0,0,0,0,0,0,1690,1755,21700,0,23242.15,-0.55,-1212,-91.66666666666667,-12.707066470958273,40.1,0.05,8326,781040,941070,91950,4224287,198826657,3898897,185985431
0,0,0,0,0,0,1,715,975,21750,0,23242.15,-0.6,1906,-92.3076923076923,101.92513368983957,40.97,0.05,3776,21125,140725,32562,4224287,198826657,3898897,185985431
0,0,0,0,0,0,0,3575,3510,21800,0,23242.15,-0.65,-11502,-92.85714285714286,-51.71065054174347,37.66,0.05,10741,1169480,2145975,94755,4224287,198826657,3898897,185985431
0,0,0,0,0,0,0,3575,3510,21850,0,23242.15,-0.7,223,-93.33333333333333,7.919034090909091,36.43,0.05,3039,98475,176020,18254,4224287,198826657,3898897,185985431
0,0,0,0,0,0,0,3055,2990,21900,0,23242.15,-0.65,-5482,-92.85714285714286,-35.750619538280944,35.21,0.05,9852,499785,494325,66023,4224287,198826657,3898897,185985431
0,0,0,0,56.97,0,2,3120,3965,21950,0,23242.15,-0.8,861,-94.11764705882354,24.239864864864863,33.99,0.05,4413,44590,195325,43660,4224287,198826657,3898897,185985431
134.3,-166,11.94893011254949,-47.15909090909091,0,1258.25,186,4485,4745,22000,361,23242.15,-0.8,-19462,-94.11764705882354,-19.006601820383608,32.77,0.05,82934,0,1171170,805398,4224287,198826657,3898897,185985431
0,0,0,0,76.79,0,5,3120,3835,22050,0,23242.15,-0.85,4965,-94.44444444444444,120.2179176755448,31.54,0.05,9095,1031940,1183260,68105,4224287,198826657,3898897,185985431
98.15,3,9.605127954200714,37.5,0,1120,11,3640,3510,22100,30,23242.15,-0.85,3247,-94.44444444444444,13.08113770042704,30.32,0.05,28069,1304485,4163380,240946,4224287,198826657,3898897,185985431
146.7,6,15.228900654001869,300,0,1110,8,3315,3315,22150,30,23242.15,-0.9,11129,-90,130.65273538389295,29.1,0.1,19647,1238315,2437110,146737,4224287,198826657,3898897,185985431
-3.8,3,-0.4108996539792388,21.428571428571427,0,921,17,3705,3445,22200,10,23242.15,-1.05,20686,-95.45454545454545,53.06824012314007,27.87,0.05,59666,1950520,6726200,421419,4224287,198826657,3898897,185985431
133.7,1,15.205276924826567,10,0,1013,11,3315,4550,22250,7,23242.15,-1.1,14592,-95.65217391304348,111.38081062514311,26.65,0.05,27693,1676090,5207735,197977,4224287,198826657,3898897,185985431
133.3,-12,16.207672198917866,-21.05263157894737,0,955.75,45,4095,6695,22300,125,23242.15,-1.3,-6974,-96.29629629629629,-13.725644558157843,25.42,0.05,43836,3898440,5148715,484094,4224287,198826657,3898897,185985431
20.55,0,2.643766885372443,0,0,797.85,20,2990,1625,22350,26,23242.15,-1.65,1217,-97.05882352941177,3.9079057221758395,25.58,0.05,32359,3337880,3454555,354576,4224287,198826657,3898897,185985431
132.65,-236,17.988879848114998,-54.629629629629626,0,870.05,196,10075,11700,22400,741,23242.15,-1.85,16648,-94.87179487179488,21.58825665231599,24.29,0.1,93764,7474675,7875790,752488,4224287,198826657,3898897,185985431
131.9,0,19.654298912233646,0,0,803,42,11180,6825,22450,7,23242.15,-2.15,21191,-95.55555555555556,87.73288068228865,23,0.1,45345,3092960,4627025,586586,4224287,198826657,3898897,185985431
123.25,-428,19.52320608268652,-41.96078431372549,0,754.55,592,130195,17745,22500,4774,23242.15,-2.65,37897,-98.14814814814815,24.33444206146378,20.5,0.05,193631,8341255,12540125,2122823,4224287,198826657,3898897,185985431
121.3,62,20.779443254817988,45.925925925925924,0,705.05,197,656500,15275,22550,611,23242.15,-3.05,17935,-96.82539682539682,59.55306149555054,20.41,0.1,48051,6221150,2843360,1027979,4224287,198826657,3898897,185985431
118.35,54,22.198255650379817,13.740458015267176,0,651.5,447,749060,7865,22600,2026,23242.15,-3.95,24503,-97.53086419753086,45.37088471651298,19.11,0.1,78509,7692360,9850295,1374127,4224287,198826657,3898897,185985431
122.9,121,25.30629053845362,46.00760456273764,0,608.55,384,573040,8580,22650,1536,23242.15,-5.2,25558,-99.04761904761905,65.03804361656105,17.8,0.05,64855,8040695,7345520,1053775,4224287,198826657,3898897,185985431
117.1,-18,26.842406876790832,-2.3166023166023164,0,553.35,759,608465,16835,22700,5671,23242.15,-7,46678,-99.29078014184397,46.52678793919761,15.54,0.05,147003,7156240,6968130,2333865,4224287,198826657,3898897,185985431
115.5,194,29.78723404255319,49.48979591836735,0,503.25,586,466180,24310,22750,4234,23242.15,-9.6,26976,-99.48186528497409,63.936291240045506,14.29,0.05,69168,7725835,7727005,1455344,4224287,198826657,3898897,185985431
107.4,-1076,31.31651844292171,-50,0,450.35,1076,3133455,26195,22800,37781,23242.15,-13.35,24747,-99.25650557620818,24.358242450490177,14.4,0.1,126343,15756000,9066005,3395583,4224287,198826657,3898897,185985431
102.85,-7,34.50184501845018,-0.8578431372549019,0,400.95,809,3283670,18200,22850,26334,23242.15,-18.3,21336,-99.45652173913044,47.08686440677966,12.53,0.1,66648,15681835,5786755,3377884,4224287,198826657,3898897,185985431
94.15,-3760,36.74863387978142,-59.193954659949625,0,350.35,2592,9191000,33215,22900,196785,23242.15,-25.45,28529,-99.60861056751467,28.927329324802532,11.19,0.1,127152,19726200,11556610,5667494,4224287,198826657,3898897,185985431
85.05,273,39.47551636110467,11.741935483870968,0,300.5,2598,9650550,34580,22950,186053,23242.15,-34.6,37351,-99.56834532374101,72.72249372091665,10.25,0.15,88712,19363695,8812440,5103949,4224287,198826657,3898897,185985431
70.85,-10389,39.459760512392094,-48.166349853957065,0,250.4,11180,22768135,88920,23000,1460670,23242.15,-47.3,41562,-99.78902953586498,27.213084699596667,8.84,0.1,194290,27754805,14956890,12125754,4224287,198826657,3898897,185985431
57.4,3897,39.97214484679666,34.57545914293319,0,201,15168,23289630,71760,23050,1495055,23242.15,-62.8,73250,-99.76171564733916,130.73120237011653,7.09,0.15,129281,26191165,9594910,10834581,4224287,198826657,3898897,185985431
37.75,-20449,33.392304290137105,-29.5715174039421,0,150.8,48702,42751150,271245,23100,7209653,23242.15,-83.05,108051,-99.87973541791942,103.90918008193411,5.95,0.1,212037,19594055,22972365,22878518,4224287,198826657,3898897,185985431
12.8,4101,14.52070334656835,6.420352250489237,0,100.95,67976,52115830,412230,23150,13933267,23242.15,-105.7,194230,-99.95271867612293,433.7621153244897,4.46,0.05,239008,21435635,20411235,28307886,4224287,198826657,3898897,185985431
-15.35,47772,-23.10007524454477,35.626552117591785,0,51.1,181863,98152405,1912690,23200,35770967,23242.15,-132.95,437905,-99.92484028560692,708.9971504436242,2.91,0.1,499669,51523355,32249490,39132452,4224287,198826657,3898897,185985431
