timestamp,input_csv,underlyingValue,top1ce_strike,top1ce_oi_value,top2ce_strike,top2ce_oi_value,top3ce_strike,top3ce_oi_value,top1pe_strike,top1pe_oi_value,top2pe_strike,top2pe_oi_value,top3pe_strike,top3pe_oi_value,Overall_CE_openInterest,Overall_PE_openInterest,Overall_CE_totalTradedVolume,Overall_PE_totalTradedVolume
2026-06-05T09:16:17.690270,C:\Users\Vinit\OneDrive\Desktop\Trade_Auto\nifty_data_csv\nifty_20260605_091603.csv,23500.2,24000,179205,23500,106943,23800,86669,23000,122993,23300,117679,23400,83373,2086361.0,2010733.0,25055683.0,23882531.0
2026-06-05T09:31:09.235768,C:\Users\Vinit\OneDrive\Desktop\Trade_Auto\nifty_data_csv\nifty_20260605_093103.csv,23466.1,23500,181254,23800,100275,23700,99112,23000,148461,23300,137655,23500,127205,2457274.0,2322757.0,2471958.0,3130250.0
2026-06-05T09:46:10.785996,C:\Users\Vinit\OneDrive\Desktop\Trade_Auto\nifty_data_csv\nifty_20260605_094604.csv,23467.25,23500,185434,23700,107321,23800,106414,23300,156357,23500,156239,23000,156073,2582370.0,2540271.0,4708493.0,5166842.0
2026-06-05T10:01:13.035324,C:\Users\Vinit\OneDrive\Desktop\Trade_Auto\nifty_data_csv\nifty_20260605_100105.csv,23443.6,23500,212202,23700,115048,23800,112883,23000,164886,23300,148463,23500,140417,2762559.0,2540017.0,6137827.0,6664965.0
2026-06-05T10:16:14.279886,C:\Users\Vinit\OneDrive\Desktop\Trade_Auto\nifty_data_csv\nifty_20260605_101606.csv,23474.95,23500,195550,23700,111982,23800,110337,23000,173366,23500,166883,23300,160432,2750942.0,2678773.0,9800405.0,10066857.0
2026-06-05T10:31:15.496299,C:\Users\Vinit\OneDrive\Desktop\Trade_Auto\nifty_data_csv\nifty_20260605_103107.csv,23470.8,23500,223108,23700,125928,23800,123728,23000,174512,23500,173871,23300,163341,2864068.0,2621265.0,12209348.0,12223157.0
2026-06-05T10:46:22.641803,C:\Users\Vinit\OneDrive\Desktop\Trade_Auto\nifty_data_csv\nifty_20260605_104608.csv,23355.65,23500,270013,23600,148587,23700,147104,23000,173421,23300,142327,23400,125207,3330768.0,2422765.0,15909150.0,16768056.0
2026-06-05T11:01:14.936501,C:\Users\Vinit\OneDrive\Desktop\Trade_Auto\nifty_data_csv\nifty_20260605_110109.csv,23406.85,23500,276610,23400,162193,23600,159859,23000,174461,23300,153193,23400,132091,3496790.0,2472731.0,18396833.0,19324642.0
2026-06-05T11:16:26.290589,C:\Users\Vinit\OneDrive\Desktop\Trade_Auto\nifty_data_csv\nifty_20260605_111610.csv,23448.25,23500,232775,23600,134840,23700,128373,23000,167724,23300,163294,23400,160102,3082668.0,2596929.0,22527766.0,22449058.0
2026-06-05T11:31:20.965787,C:\Users\Vinit\OneDrive\Desktop\Trade_Auto\nifty_data_csv\nifty_20260605_113111.csv,23427.1,23500,241170,23600,145239,23700,133107,23000,166049,23300,155367,23400,153181,3170083.0,2549724.0,24367393.0,25038824.0
2026-06-05T11:46:22.229726,C:\Users\Vinit\OneDrive\Desktop\Trade_Auto\nifty_data_csv\nifty_20260605_114612.csv,23433.0,23500,246571,23600,148127,23700,129462,23000,168236,23300,158175,23400,155606,3198906.0,2562280.0,25967886.0,26750743.0
2026-06-05T12:01:23.475932,C:\Users\Vinit\OneDrive\Desktop\Trade_Auto\nifty_data_csv\nifty_20260605_120114.csv,23404.6,23500,251004,23600,153777,23700,133935,23000,172059,23300,161033,23400,160960,3252921.0,2580585.0,27120585.0,28153002.0
2026-06-05T12:16:27.747423,C:\Users\Vinit\OneDrive\Desktop\Trade_Auto\nifty_data_csv\nifty_20260605_121615.csv,23437.05,23500,244384,23600,151168,23700,130784,23000,175460,23400,165668,23300,162171,3239541.0,2588401.0,28407207.0,29532336.0
2026-06-05T12:31:20.247803,C:\Users\Vinit\OneDrive\Desktop\Trade_Auto\nifty_data_csv\nifty_20260605_123116.csv,23431.5,23500,238022,23600,150146,23700,127930,23000,177035,23400,176834,23300,166035,3229147.0,2639562.0,29580329.0,30646491.0
2026-06-05T12:46:22.213856,C:\Users\Vinit\OneDrive\Desktop\Trade_Auto\nifty_data_csv\nifty_20260605_124617.csv,23377.55,23500,250376,23600,155074,23700,151488,23000,170878,23400,156985,23300,156107,3374142.0,2541119.0,31472208.0,33327607.0
2026-06-05T13:01:23.571188,C:\Users\Vinit\OneDrive\Desktop\Trade_Auto\nifty_data_csv\nifty_20260605_130118.csv,23360.7,23500,268943,23400,170888,23600,163647,23000,178052,23300,154008,23400,139737,3557814.0,2486502.0,32814910.0,35289631.0
2026-06-05T13:16:26.377876,C:\Users\Vinit\OneDrive\Desktop\Trade_Auto\nifty_data_csv\nifty_20260605_131619.csv,23350.7,23500,282392,23400,183228,23700,165089,23000,176252,23300,153535,23400,131760,3649373.0,2454611.0,34207505.0,37474171.0
2026-06-05T13:31:32.115227,C:\Users\Vinit\OneDrive\Desktop\Trade_Auto\nifty_data_csv\nifty_20260605_133121.csv,23311.4,23500,290631,23400,195034,23600,162289,23000,175949,23300,149399,23400,118132,3707662.0,2430813.0,35940182.0,39765782.0
2026-06-05T13:46:23.839546,C:\Users\Vinit\OneDrive\Desktop\Trade_Auto\nifty_data_csv\nifty_20260605_134622.csv,23300.6,23500,297888,23400,202503,23600,163332,23000,165921,23300,145124,23400,107736,3791865.0,2379840.0,37696459.0,42278587.0
2026-06-05T14:01:25.593633,C:\Users\Vinit\OneDrive\Desktop\Trade_Auto\nifty_data_csv\nifty_20260605_140123.csv,23322.25,23500,302401,23400,207198,23600,174496,23000,177989,23300,152036,23200,104258,3884199.0,2417656.0,39035547.0,43965848.0
2026-06-05T14:16:27.554663,C:\Users\Vinit\OneDrive\Desktop\Trade_Auto\nifty_data_csv\nifty_20260605_141624.csv,23315.7,23500,293231,23400,200270,23600,168886,23000,175323,23300,169314,23200,110390,3834504.0,2467506.0,40199079.0,45242101.0
2026-06-05T14:31:29.141340,C:\Users\Vinit\OneDrive\Desktop\Trade_Auto\nifty_data_csv\nifty_20260605_143125.csv,23364.55,23500,294473,23400,199888,23600,168615,23000,168253,23300,160816,23200,102304,3832203.0,2415661.0,42062031.0,47215154.0
2026-06-05T14:46:30.867109,C:\Users\Vinit\OneDrive\Desktop\Trade_Auto\nifty_data_csv\nifty_20260605_144626.csv,23411.0,23500,256769,23400,158980,23700,152938,23300,153036,23000,151402,23400,100685,3564669.0,2344857.0,45682524.0,50350753.0
2026-06-05T15:01:32.802921,C:\Users\Vinit\OneDrive\Desktop\Trade_Auto\nifty_data_csv\nifty_20260605_150127.csv,23332.5,23500,225089,23600,142744,23400,139406,23300,151888,23000,149318,23400,107146,3269008.0,2340389.0,49914387.0,53762613.0
2026-06-05T15:16:34.378885,C:\Users\Vinit\OneDrive\Desktop\Trade_Auto\nifty_data_csv\nifty_20260605_151628.csv,23383.7,23500,215592,23700,142385,23600,138727,23000,150788,23300,148762,23400,102322,3266974.0,2279172.0,52502336.0,56329267.0
2026-06-05T15:31:36.133131,C:\Users\Vinit\OneDrive\Desktop\Trade_Auto\nifty_data_csv\nifty_20260605_153129.csv,23370.5,23500,159738,23700,129492,23600,107386,23000,142151,23300,114715,23400,88379,2963659.0,2067840.0,55266004.0,58544772.0
2026-06-08T09:21:14.657189,C:\Users\Vinit\OneDrive\Desktop\Trade_Auto\nifty_data_csv\nifty_20260608_092103.csv,23107.3,23500,213973,23400,135408,23600,119464,23000,186183,23100,122963,22900,112994,3371749.0,2328475.0,4582302.0,3453440.0
2026-06-08T10:36:34.858402,C:\Users\Vinit\OneDrive\Desktop\Trade_Auto\nifty_data_csv\nifty_20260608_103626.csv,23212.9,23500,272677,23400,187586,23300,181620,23000,254914,23100,248046,23200,191349,3788254.0,3105720.0,20714505.0,16859946.0
2026-06-08T10:38:00.850394,C:\Users\Vinit\OneDrive\Desktop\Trade_Auto\nifty_data_csv\nifty_20260608_103751.csv,23203.2,23500,274596,23400,187075,23300,178749,23100,256701,23000,255529,23200,206114,3762824.0,3151466.0,21051931.0,17099805.0
