timestamp,input_csv,underlyingValue,top1ce_strike,top1ce_oi_value,top2ce_strike,top2ce_oi_value,top3ce_strike,top3ce_oi_value,top1pe_strike,top1pe_oi_value,top2pe_strike,top2pe_oi_value,top3pe_strike,top3pe_oi_value,Overall_CE_openInterest,Overall_PE_openInterest,Overall_CE_totalTradedVolume,Overall_PE_totalTradedVolume,CE_delta1_since_start,CE_delta2_since_start,CE_delta3_since_start,CE_delta1_from_previous,CE_delta2_from_previous,CE_delta3_from_previous,PE_delta1_since_start,PE_delta2_since_start,PE_delta3_since_start,PE_delta1_from_previous,PE_delta2_from_previous,PE_delta3_from_previous,Overall_CE_openInterest_delta_since_start,Overall_PE_openInterest_delta_since_start,Overall_CE_totalTradedVolume_delta_since_start,Overall_PE_totalTradedVolume_delta_since_start,Overall_CE_openInterest_delta_from_previous,Overall_PE_openInterest_delta_from_previous,Overall_CE_totalTradedVolume_delta_from_previous,Overall_PE_totalTradedVolume_delta_from_previous
2026-06-09T09:21:17.858837,C:\Users\Vinit\OneDrive\Desktop\AlgoTrades\OI_DASH_V1\nifty_data_csv\nifty_20260609_092104.csv,23242.2,23300,273114,23500,267794,23250,213909,23200,247497,23000,239404,23100,189527,3673211.0,2787251.0,5359284.0,4951610.0,+0,+0,+0,+123860,+123019,+45434,+0,+0,+0,+185733,+85541,+86676,+0,+0,+0,+0,+501919,+762046,-62007477,-58246040
2026-06-09T09:26:08.858537,C:\Users\Vinit\OneDrive\Desktop\AlgoTrades\OI_DASH_V1\nifty_data_csv\nifty_20260609_092605.csv,23238.0,23300,337580,23250,305474,23500,290083,23200,376683,23000,277362,23100,238187,4044882.0,3286007.0,8852598.0,8274542.0,+91565,+64466,+22289,+91565,+64466,+22289,+129186,+48660,+37958,+129186,+48660,+37958,+371671,+498756,+3493314,+3322932,+371671,+498756,+3493314,+3322932
2026-06-09T09:31:09.717511,C:\Users\Vinit\OneDrive\Desktop\AlgoTrades\OI_DASH_V1\nifty_data_csv\nifty_20260609_093105.csv,23232.25,23300,377415,23250,355836,23500,299293,23200,423919,23000,297008,23100,261764,4305077.0,3505477.0,10786357.0,10307972.0,+141927,+104301,+31499,+50362,+39835,+9210,+176422,+72237,+57604,+47236,+23577,+19646,+631866,+718226,+5427073,+5356362,+260195,+219470,+1933759,+2033430
2026-06-09T09:36:10.629656,C:\Users\Vinit\OneDrive\Desktop\AlgoTrades\OI_DASH_V1\nifty_data_csv\nifty_20260609_093606.csv,23236.2,23300,392049,23250,364151,23500,302153,23200,481538,23000,309902,23100,274101,4359857.0,3770918.0,13593719.0,12844559.0,+150242,+118935,+34359,+8315,+14634,+2860,+234041,+84574,+70498,+57619,+12337,+12894,+686646,+983667,+8234435,+7892949,+54780,+265441,+2807362,+2536587
2026-06-09T09:41:11.633435,C:\Users\Vinit\OneDrive\Desktop\AlgoTrades\OI_DASH_V1\nifty_data_csv\nifty_20260609_094107.csv,23207.2,23250,435395,23300,433401,23500,312862,23200,462205,23000,324608,23100,286941,4632685.0,3814328.0,16045661.0,15292466.0,+221486,+160287,+45068,+71244,+41352,+10709,+214708,+97414,+85204,-19333,+12840,+14706,+959474,+1027077,+10686377,+10340856,+272828,+43410,+2451942,+2447907
2026-06-09T09:46:12.655005,C:\Users\Vinit\OneDrive\Desktop\AlgoTrades\OI_DASH_V1\nifty_data_csv\nifty_20260609_094608.csv,23200.75,23250,477842,23300,474203,23200,357953,23200,452195,23000,338479,23100,297950,4891732.0,3865024.0,17929056.0,17586962.0,+153839,+263933,+201089,+49824,+42447,+40802,+204698,+108423,+99075,-10010,+11009,+13871,+1218521,+1077773,+12569772,+12635352,+259047,+50696,+1883395,+2294496
2026-06-09T09:51:13.695320,C:\Users\Vinit\OneDrive\Desktop\AlgoTrades\OI_DASH_V1\nifty_data_csv\nifty_20260609_095109.csv,23188.2,23250,496759,23300,494230,23200,396332,23200,434982,23000,341513,23100,306360,5064173.0,3845487.0,20567429.0,20993593.0,+192218,+282850,+221116,+38379,+18917,+20027,+187485,+116833,+102109,-17213,+8410,+3034,+1390962,+1058236,+15208145,+16041983,+172441,-19537,+2638373,+3406631
2026-06-09T09:56:14.810306,C:\Users\Vinit\OneDrive\Desktop\AlgoTrades\OI_DASH_V1\nifty_data_csv\nifty_20260609_095609.csv,23207.5,23300,501647,23250,499286,23200,414177,23200,392387,23000,330897,23100,311390,5112892.0,3744056.0,22680245.0,23642884.0,+210063,+285377,+228533,+17845,+2527,+7417,+144890,+121863,+91493,-42595,+5030,-10616,+1439681,+956805,+17320961,+18691274,+48719,-101431,+2112816,+2649291
2026-06-09T10:01:15.948485,C:\Users\Vinit\OneDrive\Desktop\AlgoTrades\OI_DASH_V1\nifty_data_csv\nifty_20260609_100110.csv,23188.2,23250,527368,23300,521286,23200,437638,23200,387079,23000,348907,23100,318585,5230205.0,3783727.0,24808779.0,26322988.0,+233524,+313459,+248172,+23461,+28082,+19639,+139582,+129058,+109503,-5308,+7195,+18010,+1556994,+996476,+19449495,+21371378,+117313,+39671,+2128534,+2680104
2026-06-09T10:06:17.074650,C:\Users\Vinit\OneDrive\Desktop\AlgoTrades\OI_DASH_V1\nifty_data_csv\nifty_20260609_100611.csv,23175.4,23250,536953,23300,529701,23200,478146,23200,356336,23000,342640,23100,315852,5392654.0,3703365.0,26796107.0,28969055.0,+274032,+323044,+256587,+40508,+9585,+8415,+108839,+126325,+103236,-30743,-2733,-6267,+1719443,+916114,+21436823,+24017445,+162449,-80362,+1987328,+2646067
2026-06-09T10:11:18.550572,C:\Users\Vinit\OneDrive\Desktop\AlgoTrades\OI_DASH_V1\nifty_data_csv\nifty_20260609_101111.csv,23164.95,23250,545752,23300,543933,23200,533661,23000,342761,23200,335088,23100,317485,5583553.0,3670537.0,28848218.0,31684929.0,+329547,+331843,+270819,+55515,+8799,+14232,+87591,+127958,+103357,-21248,+1633,+121,+1910342,+883286,+23488934,+26733319,+190899,-32828,+2052111,+2715874
2026-06-09T10:11:18.550572,C:\Users\Vinit\OneDrive\Desktop\AlgoTrades\OI_DASH_V1\nifty_data_csv\nifty_20260609_101111.csv,23164.95,23250,545752,23300,543933,23200,533661,23000,342761,23200,335088,23100,317485,5583553.0,3670537.0,28848218.0,31684929.0,+329547,+331843,+270819,+55515,+8799,+14232,+87591,+127958,+103357,-21248,+1633,+121,+1910342,+883286,+23488934,+26733319,+190899,-32828,+2052111,+2715874
2026-06-09T10:16:19.713881,C:\Users\Vinit\OneDrive\Desktop\AlgoTrades\OI_DASH_V1\nifty_data_csv\nifty_20260609_101612.csv,23164.35,23200,574979,23250,555388,23300,554870,23000,350137,23100,328287,23200,319480,5743953.0,3701938.0,29934547.0,33052572.0,+370865,+341479,+281756,+41318,+9636,+10937,+71983,+138760,+110733,-15608,+10802,+7376,+2070742,+914687,+24575263,+28100962,+160400,+31401,+1086329,+1367643
2026-06-09T10:21:20.873469,C:\Users\Vinit\OneDrive\Desktop\AlgoTrades\OI_DASH_V1\nifty_data_csv\nifty_20260609_102112.csv,23163.05,23200,603687,23250,574845,23300,564308,23000,353497,23100,334065,23200,315170,5887954.0,3718707.0,31374916.0,34952214.0,+399573,+360936,+291194,+28708,+19457,+9438,+67673,+144538,+114093,-4310,+5778,+3360,+2214743,+931456,+26015632,+30000604,+144001,+16769,+1440369,+1899642
2026-06-09T10:21:20.873469,C:\Users\Vinit\OneDrive\Desktop\AlgoTrades\OI_DASH_V1\nifty_data_csv\nifty_20260609_102112.csv,23163.05,23200,603687,23250,574845,23300,564308,23000,353497,23100,334065,23200,315170,5887954.0,3718707.0,31374916.0,34952214.0,+399573,+360936,+291194,+28708,+19457,+9438,+67673,+144538,+114093,-4310,+5778,+3360,+2214743,+931456,+26015632,+30000604,+144001,+16769,+1440369,+1899642
2026-06-09T10:26:21.975213,C:\Users\Vinit\OneDrive\Desktop\AlgoTrades\OI_DASH_V1\nifty_data_csv\nifty_20260609_102613.csv,23157.6,23200,626232,23250,560381,23300,558624,23000,345149,23100,314193,23200,273254,5983782.0,3600757.0,33164852.0,37485053.0,+422118,+346472,+285510,+22545,-14464,-5684,+25757,+124666,+105745,-41916,-19872,-8348,+2310571,+813506,+27805568,+32533443,+95828,-117950,+1789936,+2532839
2026-06-09T10:31:23.015962,C:\Users\Vinit\OneDrive\Desktop\AlgoTrades\OI_DASH_V1\nifty_data_csv\nifty_20260609_103114.csv,23165.75,23200,652631,23250,570176,23300,564121,23000,359197,23100,321249,23200,270956,6103830.0,3676855.0,34586766.0,39462532.0,+448517,+356267,+291007,+26399,+9795,+5497,+23459,+131722,+119793,-2298,+7056,+14048,+2430619,+889604,+29227482,+34510922,+120048,+76098,+1421914,+1977479
2026-06-09T10:31:23.015962,C:\Users\Vinit\OneDrive\Desktop\AlgoTrades\OI_DASH_V1\nifty_data_csv\nifty_20260609_103114.csv,23165.75,23200,652631,23250,570176,23300,564121,23000,359197,23100,321249,23200,270956,6103830.0,3676855.0,34586766.0,39462532.0,+448517,+356267,+291007,+26399,+9795,+5497,+23459,+131722,+119793,-2298,+7056,+14048,+2430619,+889604,+29227482,+34510922,+120048,+76098,+1421914,+1977479
2026-06-09T10:36:24.159323,C:\Users\Vinit\OneDrive\Desktop\AlgoTrades\OI_DASH_V1\nifty_data_csv\nifty_20260609_103615.csv,23154.0,23200,663480,23250,578993,23300,566728,23000,367991,23100,341081,23150,285740,6173530.0,3779211.0,35728493.0,40826724.0,+459366,+365084,+293614,+10849,+8817,+2607,+172684,+151554,+128587,+20304,+19832,+8794,+2500319,+991960,+30369209,+35875114,+69700,+102356,+1141727,+1364192
2026-06-09T10:41:31.363284,C:\Users\Vinit\OneDrive\Desktop\AlgoTrades\OI_DASH_V1\nifty_data_csv\nifty_20260609_104115.csv,23148.7,23200,690368,23250,583080,23300,563000,23000,376137,23100,353886,23150,287452,6265879.0,3788156.0,36874129.0,42219654.0,+486254,+369171,+289886,+26888,+4087,-3728,+174396,+164359,+136733,+1712,+12805,+8146,+2592668,+1000905,+31514845,+37268044,+92349,+8945,+1145636,+1392930
2026-06-09T10:46:22.691300,C:\Users\Vinit\OneDrive\Desktop\AlgoTrades\OI_DASH_V1\nifty_data_csv\nifty_20260609_104616.csv,23158.15,23200,696548,23250,586100,23300,564064,23000,380072,23100,357724,23150,288827,6306793.0,3800326.0,37361457.0,42926337.0,+492434,+372191,+290950,+6180,+3020,+1064,+175771,+168197,+140668,+1375,+3838,+3935,+2633582,+1013075,+32002173,+37974727,+40914,+12170,+487328,+706683
